"Completed, Not Open",219
"Suspended, Not Open",13
"Active, not recruiting, Not Open",135
"Recruiting, Open",797
"Enrolling by invitation, Not Open",38
"Not yet recruiting, Open",257
"Terminated, Not Open",27
"Withdrawn, Not Open",35
"No longer available, Not Open",7
"Available, Open",8
