"Completed, Not Open",55
"Active, not recruiting, Not Open",2
"Recruiting, Open",1
"Enrolling by invitation, Not Open",1
"Unknown status, Not Open",6
"Withdrawn, Not Open",4
"Terminated, Not Open",2
